the  #1  art. 这；那 adv. 更加（用于比较级，最高级前）
fact  #235  n. 事实；实际；真相
month  #236  n. 月，一个月的时间
different  #237  adj. 不同的；个别的，与众不同的
lot  #238  n. 份额；许多；命运；阄 adv. （与形容词和副词连用）很，非常；（与动词连用）非常 pron. 大量，许多 vt. 分组，把…划分（常与out连用）；把（土地）划分成块 vi. 抽签，拈阄
right  #239  adj. 正确的；直接的；右方的 vi. 复正；恢复平稳 n. 正确；右边；正义 adv. 正确地；恰当地；彻底地 vt. 纠正 n. (Right)人名；(英)赖特
study  #240  n. 学习，研究；课题；书房；学问 vt. 学习；考虑；攻读；细察 vi. 研究；用功 n. (Study)人名；(英)斯塔迪
book  #241  n. 书籍；卷；账簿；名册；工作簿 vt. 预订；登记 n. (Book)人名；(中)卜(广东话·威妥玛)；(朝)北；(英)布克；(瑞典)博克
eye  #242  n. 眼睛；视力；眼光；见解，观点 vt. 注视，看 n. (Eye)人名；(德)艾厄；(英)艾
job  #243  n. 工作；职业 vt. 承包；代客买卖 vi. 做零工 n. (Job)人名；(英)乔布；(法、葡)若布；(?-1605)约伯〈俄〉俄罗斯正教会莫斯科牧首。；(德、塞、捷、荷、意)约布
word  #244  n. [语] 单词；话语；消息；诺言；命令 vt. 用言辞表达 n. (Word)人名；(英)沃德
though  #245  adv. 可是，虽然；不过；然而 conj. 虽然；尽管 prep. 但
business  #246  n. 商业；[贸易] 生意；[贸易] 交易；事情
issue  #247  n. 问题；流出；期号；发行物 vt. 发行，发布；发给；放出，排出 vi. 发行；流出；造成…结果；传下
side  #248  n. 方面；侧面；旁边 vi. 支持；赞助；偏袒 adj. 旁的，侧的 vt. 同意，支持 n. (Side)人名；(英)赛德
kind  #249  n. 种类；性质 adj. 和蔼的；宽容的；令人感激的 n. (Kind)人名；(德、俄、法、捷)金德；(瑞典)欣德
four  #250  num. 四；四个 adj. 四的；四个的 n. (Four)人名；(西)福尔；(法)富尔
head  #251  n. 头；头痛；上端；最前的部分；理解力 vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题 vi. 出发；成头状物；船驶往 adj. 头的；主要的；在顶端的 n. (Head)人名；(英)黑德
far  #252  adv. 很；遥远地；久远地；到很远的距离；到很深的程度 adj. 远的；久远的 n. 远方 n. (Far)人名；(德、西、塞)法尔
black  #253  adj. 黑色的；黑人的；邪恶的 n. 黑色；黑人；黑颜料 vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿 vi. 变黑 n. (Black)人名；(英、西)布莱克；(德、葡、捷)布拉克
long  #254  n. 长时间；[语] 长音节；（服装的）长尺寸；长裤 adj. 长的；过长的；做多头的；长时间的；冗长的，长音 vi. 渴望；热望 adv. 长期地；始终 n. （英、法、德、瑞典）朗（人名）；（柬）隆（人名）
both  #255  adj. 两个的；两者的 adv. 并；又；两者皆 pron. 双方都；两者都 conj. 既…且… n. (Both)人名；(德、罗、捷、南非、匈)博特
little  #256  adj. 小的；很少的；短暂的；小巧可爱的 adv. 完全不 n. 少许；没有多少；短时间 n. (Little)人名；(英)利特尔
house  #257  n. 住宅；家庭；机构；议会；某种用途的建筑物 vt. 覆盖；给…房子住；把…储藏在房内 vi. 住 n. (House)人名；(英)豪斯
yes  #258  adv. 是, 是的 n. 是（表示肯定）
after  #259  adv. 后来，以后 prep. 在……之后 conj. 在……之后 adj. 以后的
since  #260  conj. 因为；由于；既然；自…以来；自…以后 prep. 自…以来；自…以后 adv. 后来
long  #261  n. 长时间；[语] 长音节；（服装的）长尺寸；长裤 adj. 长的；过长的；做多头的；长时间的；冗长的，长音 vi. 渴望；热望 adv. 长期地；始终 n. （英、法、德、瑞典）朗（人名）；（柬）隆（人名）
provide  #262  vt. 提供；规定；准备；装备 vi. 规定；抚养；作准备
service  #263  n. 服务，服侍；服役；仪式 adj. 服务性的；耐用的；服现役的 vt. 维修，检修；保养 n. (Service)人名；(英)瑟维斯
around  #264  adv. 大约；到处；在附近 prep. 四处；在…周围
friend  #265  n. 朋友；助手；赞助者 n. (Friend)人名；(英)弗兰德
important  #266  adj. 重要的，重大的；有地位的；有权力的
father  #267  n. 父亲，爸爸；神父；祖先；前辈 vt. 发明，创立；当…的父亲
sit  #268  vi. 坐；位于 vt. 使就座 n. (Sit)人名；(东南亚国家华语)硕；(罗)西特
away  #269  adv. 离去，离开；在远处
until  #270  conj. 在…以前；直到…时 prep. 在…以前；到…为止
power  #271  n. 力量，能力；电力，功率，性能；政权，势力；[数] 幂 vt. 激励；供以动力；使…有力量 vi. 快速前进 adj. 借影响有权势人物以操纵权力的 n. (Power)人名；(英、葡)鲍尔
hour  #272  n. 小时；钟头；课时；…点钟 n. (Hour)人名；(法)乌尔；(柬)胡
game  #273  n. 游戏；比赛 adj. 勇敢的 vi. 赌博 n. (Game)人名；(英)盖姆；(法)加姆；(西)加梅
often  #274  adv. 常常，时常
yet  #275  adv. 还；但是；已经 conj. 但是；然而 n. (Yet)人名；(东南亚国家华语)一
line  #276  n. 路线，航线；排；绳 vt. 排成一行；划线于；以线条标示；使…起皱纹 vi. 排队；站成一排 n. (Line)人名；(英)莱恩；(俄)利涅
political  #277  adj. 政治的；党派的
end  #278  n. 结束；目标；尽头；末端；死亡 vi. 结束，终止；终结 vt. 结束，终止；终结 n. (End)人名；(英、德)恩德
among  #279  prep. 在…中间；在…之中
ever  #280  adv. 永远；曾经；究竟 n. (Ever)人名；(英)埃弗；(俄)叶韦尔；(西、法)埃韦尔
stand  #281  vi. 站立；位于；停滞 vt. 使站立；忍受；抵抗 n. 站立；立场；看台；停止
bad  #282  adj. 坏的；严重的；劣质的 n. 坏事；坏人 adv. 很，非常；坏地；邪恶地 n. (Bad)人名；(罗)巴德
lose  #283  vt. 浪费；使沉溺于；使迷路；遗失；错过 vi. 失败；受损失 n. (Lose)人名；(英)洛斯；(德)洛泽
however  #284  adv. 无论如何；不管怎样（接副词或形容词）；然而；可是 conj. 无论以何种方式; 不管怎样
member  #285  n. 成员；会员；议员
pay  #286  vt. 支付，付；偿还，补偿；给予 vi. 付款；偿还 n. 工资，薪水；付款；报答 adj. 收费的；需付费的
law  #287  n. 法律；规律；法治；法学；诉讼；司法界 vi. 起诉；控告 vt. 控告；对…起诉 n. (Law)人名；(东南亚国家华语)刘；(英、缅、柬)劳
meet  #288  vt. 满足；遇见；对付 vi. 相遇；接触 n. 集会 adj. 合适的；适宜的 n. (Meet)人名；(英)米特
car  #289  n. 汽车；车厢 n. (Car)人名；(土)贾尔；(法、西)卡尔；(塞)察尔
city  #290  n. 城市，都市 adj. 城市的；都会的
almost  #291  adv. 差不多，几乎
include  #292  vt. 包含，包括
continue  #293  vi. 继续，延续；仍旧，连续 vt. 继续说…；使…继续；使…延长
set  #294  n. [数] 集合；一套；布景；[机] 装置 vt. 树立；点燃；点缀； vi. (日,月)落沉；凝固；结果 adj. 固定的；规定的；固执的 n. (Set)人名；(瑞典)塞特；(俄)谢特
later  #295  adv. 后来；稍后；随后 adj. 更迟的；更后的 n. (Later)人名；(德)拉特
community  #296  n. 社区；[生态] 群落；共同体；团体
much  #297  adv. 非常，很 adj. 大量的 n. 许多，大量 pron. 许多，大量 n. (Much)人名；(德)穆赫；(英)马奇
name  #298  n. 名称，名字；姓名；名誉 vt. 命名，任命；指定；称呼；提名；叫出 adj. 姓名的；据以取名的 n. (Name)人名；(日)滑(姓)；(英)内姆
five  #299  n. 五，五个；五美元钞票 num. 五，五个 adj. 五的；五个的 n. (Five)人名；(挪)菲弗
once  #300  adv. 一次；曾经 conj. 一旦 n. 一次，一回
white  #301  adj. 白色的；白种的；纯洁的 n. 白色；洁白；白种人
least  #302  adj. 最小的；最少的（little的最高级） adv. 最小；最少 n. 最小；最少
president  #303  n. 总统；董事长；校长；主席
learn  #304  vt. 学习；得知；认识到 vi. 学习；获悉
real  #305  adj. 实际的；真实的；实在的 adv. 真正地；确实地 n. 现实；实数 n. (Real)人名；(德、西、葡、法)雷亚尔；(英)里尔
change  #306  vt. 改变；交换 n. 变化；找回的零钱 vi. 改变；兑换
team  #307  n. 队；组 vt. 使合作 vi. 合作 n. (Team)人名；(柬)甸
minute  #308  n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录 vt. 将…记录下来 adj. 微小的，详细的 [maɪˈnjuːt; US -ˈnuːt; maɪˋnut]
best  #309  n. 最好的人，最好的事物；最佳状态 adj. 最好的 adv. 最好地 vt. 打败，胜过 n. (Best)人名；(英、西、德、葡、法)贝斯特
several  #310  adj. 几个的；各自的 pron. 几个；数个
idea  #311  n. 想法；主意；概念
kid  #312  n. 小孩；小山羊 vt. 欺骗；取笑；戏弄 vi. 欺骗；取笑；戏弄 adj. 小山羊皮制的；较年幼的 n. (Kid)人名；(英)基德
body  #313  n. 身体；主体；大量；团体；主要部分 vt. 赋以形体 n. (Body)人名；(英、法、罗)博迪
information  #314  n. 信息，资料；知识；情报
nothing  #315  neg. 没什么；毫不 n. 无；零；不关紧要之事 adv. 毫不；决不 pron. 无事；无物 int. 什么也没有
ago  #316  adv. 以前，以往 adj. 以前的；过去的 n. (Ago)人名；(英、西、意、塞、瑞典)阿戈
right  #317  adj. 正确的；直接的；右方的 vi. 复正；恢复平稳 n. 正确；右边；正义 adv. 正确地；恰当地；彻底地 vt. 纠正 n. (Right)人名；(英)赖特
lead  #318  n. 领导；铅；导线；榜样 vt. 领导；致使；引导；指挥 vi. 领导；导致；用水砣测深 adj. 带头的；最重要的 n. (Lead)人名；(英)利德
social  #319  adj. 社会的，社交的；群居的 n. 联谊会；联欢会
understand  #320  vt. 理解；懂；获悉；推断；省略；明白 vi. 理解；懂得；熟悉
whether  #321  conj. 是否；不论 pron. 两个中的哪一个
back  #322  n. 后面；背部；靠背；足球等的后卫；书报等的末尾 vt. 支持；后退；背书；下赌注 vi. 后退；背靠；倒退 adv. 以前；向后地；来回地；上溯；回来；回原处 adj. 后面的；过去的；拖欠的 n. (Back)人名；(西、英、德、法、瑞典、捷)巴克
watch  #323  vt. 观察；注视；看守；警戒 n. 手表；监视；守护；值班人 vi. 观看，注视；守侯，看守
together  #324  adv. 一起；同时；相互；连续地；总共 adj. 新潮的；情绪稳定的，做事有效率的
follow  #325  vt. 跟随；遵循；追求；密切注意，注视；注意；倾听 vi. 跟随；接着 n. 跟随；追随
around  #326  adv. 大约；到处；在附近 prep. 四处；在…周围
parent  #327  n. 父亲（或母亲）；父母亲；根源 n. (Parent)人名；(法)帕朗；(英、西)帕伦特
only  #328  adv. 只，仅仅；不料 adj. 唯一的，仅有的；最合适的 conj. 但是；不过；可是
stop  #329  vt. 停止；堵塞；断绝 vi. 停止；中止；逗留；被塞住 n. 停止；车站；障碍；逗留
face  #330  n. 脸；表面；面子；面容；外观；威信 vi. 向；朝 vt. 面对；面向；承认；抹盖 n. (Face)人名；(法)法斯；(意)法切
anything  #331  pron. 任何事
create  #332  vt. 创造，创作；造成
public  #333  adj. 公众的；政府的；公用的；公立的 n. 公众；社会；公共场所 n. (Public)人名；(英)帕布利克
already  #334  adv. 已经，早已；先前
speak  #335  vi. 说话；演讲；表明；陈述 vt. 讲话；发言；讲演
others  #336  pron. 其他人
read  #337  vt. 阅读；读懂，理解 vi. 读；读起来 n. 阅读；读物 adj. 有学问的 n. (Read)人名；(英)里德
level  #338  n. 水平；标准；水平面 adj. 水平的；平坦的；同高的 vi. 瞄准；拉平；变得平坦 vt. 使同等；对准；弄平 n. (Level)人名；(法)勒韦尔
allow  #339  vt. 允许；给予；认可 vi. 容许；考虑
add  #340  vi. 加；增加；加起来；做加法 vt. 增加，添加；补充说；计算…总和 n. 加法，加法运算
office  #341  n. 办公室；政府机关；官职；营业处
spend  #342  vt. 度过，消磨（时光）；花费；浪费；用尽 vi. 花钱；用尽，耗尽 n. 预算
door  #343  n. 门；家，户；门口；通道 n. (Door)人名；(英)多尔
health  #344  n. 健康；卫生；保健；兴旺
person  #345  n. 人；身体；容貌，外表；人称 n. (Person)人名；(法、俄、德)佩尔松；(瑞典)佩尔松；(英)珀森
art  #346  n. （包括雕塑、绘画、音乐等的） 艺术，美术；美术（作）品；艺品（作）品；（表演）艺术；技术，技巧； adj. 艺术的；艺术品的；具有艺术性的 v. be的现在式单数第二人称形式，过时用法
sure  #347  adj. 确信的；可靠的；必定的 adv. 当然；的确 n. (Sure)人名；(英)休尔
such  #348  adj. 这样的，如此的 n. (Such)人名；(英)萨奇；(德)祖赫
war  #349  n. 战争，斗争；军事，战术；冲突，对抗，竞争 vi. 打仗，作战；对抗
history  #350  n. 历史，历史学；历史记录；来历
party  #351  n. 政党，党派；聚会，派对；当事人 [复数 parties] vi. 参加社交聚会 [ 过去式 partied 过去分词 partied 现在分词 partying ]
within  #352  prep. 在…之内 adv. 在内部 n. 里面
grow  #353  vi. 发展；生长；渐渐变得… vt. 使生长；种植；扩展 n. (Grow)人名；(英)格罗
result  #354  n. 结果；成绩；答案；比赛结果 vi. 结果；导致；产生
open  #355  adj. 公开的；敞开的；空旷的；坦率的；营业着的 vi. 开始；展现 vt. 公开；打开 n. 公开；空旷；户外
change  #356  vt. 改变；交换 n. 变化；找回的零钱 vi. 改变；兑换
morning  #357  n. 早晨；黎明；初期
walk  #358  n. 步行，走；散步 vt. 散步；走过 vi. 走，步行；散步 n. (Walk)人名；(德、葡)瓦尔克；(英)沃克
reason  #359  n. 理由；理性；动机 vi. 推论；劝说 vt. 说服；推论；辩论 n. (Reason)人名；(英)里森
low  #360  adj. 低的，浅的；卑贱的；粗俗的；消沉的 adv. 低声地；谦卑地，低下地 n. 低；低价；低点；牛叫声 vi. 牛叫 n. (Low)人名；(英、德)洛
